Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Search Techniques for Web Developers,"Effective search skills are often a key part of programming talent. In this course, instructor Morten Rand-Hendriksen highlights several search techniques that you, as a web developer, need to know. Morten begins by explaining where to find reliable information. He goes over several possibilities, including the original source, platform resources, status reference sites, and community resources. Next, Morten shows you how to master searches with search techniques for Google, other search engines, internal site searches, and GitHub. He concludes with a discussion of the developers behind every line of code and how you can enrich your searches for information through participating in and contributing to online communities.",Course,2022-08-29 15:47 UTC,N/A,false,N/A,
Node.js: Security,"How can you protect your Node.js applications from potential threats? In this course, Emmanuel Henri shares best practices that can help Node.js developers secure their apps at all levels, from packages to the server level. Emmanuel helps to familiarize you with the most common security risks in Node.js., including cross-site scripting and server-side injection. He dives into best practices around packages, data, and the server level. Plus, he covers tools—such as Snyk and Burp—that you can use to test your Node.js projects.",Course,2022-12-29 15:16 UTC,N/A,false,N/A,
Building RESTful APIs in Laravel,"APIs serve as a bridge between different applications or systems, allowing us to efficiently share our data with the world. REST, an architectural style that defines how to build APIs, is popular, modern, and lightweight. In this course, discover how to create a RESTful API of your own. Join instructor Zuzana Kunckova as she demonstrates how to build a RESTful API using Laravel, the popular PHP framework. Learn how to set up your application, including how to create the database structure and set up RESTful API routes. Discover how to build your RESTful API and save, display, update, and delete resources Plus, explore how to use Postman to test your API and ensure that it works as expected.",Course,2022-03-14 17:55 UTC,N/A,true,N/A,
Programming Foundations: Object-Oriented Design,"All good software starts with a great design. Object-oriented design helps developers plan applications before they write a single line of code, and break down ideas into reusable and maintainable components. This course focuses on the foundational concepts, teaching them in a fun, interactive way to help you quickly develop your skills. Tag team Olivia and Barron Stone introduce you to the concepts and terms—objects, classes, abstraction, inheritance, and more—that you need to get started. They then show how to take the requirements for an app, identify use cases, and map out classes using Universal Modeling Language (UML). The final design can then be translated into code using one of the many popular object-oriented programming languages, such as Java, C#, Ruby, or Python.",Course,2021-06-07 12:58 UTC,N/A,false,N/A,
C++: Advanced Topics (2018),"Want to deepen your understanding of C++? In this course, explore some of the more complex aspects of this core programming language, from smart pointers to move semantics. Instructor Bill Weinman begins by diving deeper into the subject of classes and objects, including class inheritance. Next, Bill goes over smart pointers, which provide the functionality of a pointer with managed memory allocation. He also covers move semantics, including the copy-and-swap idiom; lambda functions; working with a unit test library; and creating a custom string library. As he wraps up the course, Bill shares practical applications of these concepts, helping you grasp how to leverage your new skills in your own C++ projects.",Course,2020-10-01 14:35 UTC,N/A,false,N/A,
C++ Essential Training (2018),"Learn C++ programming, starting with the basics. Widely used for both systems and applications development, C++ is available for virtually every operating system and has influenced and informed many derivative languages, including C# and Java. In this course, Bill Weinman guides you through the nuts and bolts of this essential language. He helps you set up your environment for coding and dissects the anatomy of a basic C++ program. He reviews the essentials—statements and expressions, variables, conditionals, operators, loops, and functions—and moves on to more complex topics, such as data structures, classes and objects, and templates. Along the way, Bill explains concepts such as recursion, type casting, and operator overloads, and dives into the powerful container classes and algorithms in Standard Template Library (STL). These exhaustive tutorials provide a solid C++ reference for both experienced programmers and those who are brand new to the language.",Course,2020-12-14 14:35 UTC,N/A,false,N/A,
C Essential Training: 1 The Basics (2018),"C has been around for nearly half a century, but it's still as essential as ever. This powerful language lies at the heart of many modern languages—including JavaScript and Objective-C—and is an up-and-coming language for embedded systems. Whether you're taking your very first steps into programming with C, or you just want to brush up on the basics, this course can help to acquaint you with the fundamentals of this mid-level programming language. Instructor Dan Gookin dissects the anatomy of C, from data types and variables to simple functions. Plus, he shows how these basic elements fit together in control structures like loops—where the real logic behind your code comes into play.",Course,2020-12-27 06:45 UTC,N/A,false,N/A,
Git Essential Training: The Basics (2019),"Learn how to use Git, the popular open-source version control software, to manage the source code for almost any project. In this course, Kevin Skoglund explores the fundamental concepts behind version control systems and the Git architecture. Using a step-by-step approach, he shows how to install Git and presents the commands that enable efficient code management. Learn how to add, change, and delete files in the repository; view a log of previous commits; and compare versions of a file. Plus, see how to undo changes to files and ignore certain files in a Git repository.",Course,2021-05-07 13:50 UTC,N/A,false,N/A,
Programming Foundations: Algorithms,"Algorithms are the universal building blocks of programming. They power the software you use every day, whether it's a spreadsheet, a social network, or a driving assistant. Algorithms offer a way to think about programming challenges in plain English, before they are translated into a specific language like C# or JavaScript. In this course, author and developer Joe Marini explains some of the most popular and useful algorithms for searching and sorting information, working with techniques like recursion, and understanding common data structures. He also discusses the performance implications of different algorithms and how to evaluate the performance of a given algorithm. Each algorithm is shown in practice in Python, but the lessons can be applied to any programming language.",Course,2022-03-29 06:54 UTC,N/A,true,N/A,
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2021-01-16 12:27 UTC,N/A,false,N/A,
Learning Python (2020),"Python—the popular and highly readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.",Course,2021-01-10 06:41 UTC,N/A,false,N/A,
Building a Superstar Brand,"Ever wondered what it takes to create your own brand and become a superstar along the way? Explore the value of storytelling, vision, and commitment in this course with World Wrestling Entertainment (WWE) chief brand officer Stephanie McMahon, as she shows you how to lead by example and leave a legacy in your wake. Learn key lessons from Stephanie’s hard-earned experiences and colorful tales of growing up in an entrepreneurial culture. The course shares valuable lessons on how to scale superstar partnerships, create a rich DEI culture, and build powerful fan relationships. Discover proven leadership strategies and tips that you can apply to your own venture or job. Throughout the course, Stephanie looks back on the sacrifices her parents made back when they were first promoting the WWE, growing it from nothing to superpower status, and inspiring millions around the world.<br><br>Note: This course was created by genconnectU. We are pleased to host this training in our library.",Course,2023-08-05 19:38 UTC,N/A,false,N/A,
Learning Java 11,"Java is one of the top five programming languages, and is used for websites, embedded controllers, and Android app development. Interested in learning how to code with Java? Join instructor Kathryn Hodge as she helps you get up and running with this popular language. Kathryn covers all the basics: Data types, strings, functions, and loops. She helps you control the flow and logic of your code, and debug your project to make sure it runs perfectly. Along the way, she provides real-world examples and introduces challenges that allow you to practice your new skills. This course is perfect for developers who need to get up to speed with Java fast, as well as for beginning programmers who want their first taste of this popular language.",Course,2021-06-03 06:47 UTC,N/A,false,N/A,
C++ Design Patterns: Creational,"Design patterns solve the challenges software developers face over and over again. They are reusable, proven solutions that make your software more reliable and flexible to change. Creational design patterns move the creation of objects out of the main codebase and into separate classes-a best practice known as encapsulation. This course explores the five most popular creational design patterns for C++. To convince you of their merits, instructor Olivia Chiu first explains why we use design patterns in the first place, and what problems that creational patterns can help you solve. She then reviews the core concepts, implementation instructions, and examples for each pattern: Factory, Abstract Factory, Builder, Prototype, and Singleton. She also shows how to extend patterns and compare patterns to find the best fit for your applications.",Course,2022-01-05 17:51 UTC,N/A,false,N/A,
Nano Tips to Stop Overthinking with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, unlock the secrets of living your life without the burden of overthinking, using key insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.<br><br>Learn how to stop picking apart or criticizing everything you say and do. Discover practical strategies to develop a mindset that doesn’t prevent you from achieving your goals. Find out more about how overthinking can be so detrimental to your career, your relationships, and your personal and professional life. Along the way, Shadé shows you how to gear yourself up for more positive thinking to move from worry to action with ease.",Course,2023-01-16 17:09 UTC,N/A,false,N/A,
"Learning Full-Stack JavaScript Development: MongoDB, Node, and React","Learn by doing! Learn full-stack JavaScript development by building a web application with MongoDB, Node.js, and React.js.

Learn how to use Node as a web server and an API server, how to consume data and build user interfaces with React, and how to read and write data with a MongoDB database. React allows you to build full-featured, data-driven applications faster and more efficiently than what is possible with JavaScript alone.

Samer Buna introduces modern JavaScript programming concepts, with an emphasis on functional methods and open-source tools. The lessons are almost completely hands-on, with live coding demonstrations that bring the concepts home.",Course,2023-02-16 13:47 UTC,N/A,false,N/A,
Programming Foundations: Databases,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6674783657376395265?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Programming Languages Newsletter</a></div><br>Once you get beyond basic programming, you'll need a database. Databases provide a consistent, organized structure for storing and retrieving large amounts of data. They allow programmers to build more complex applications that can take orders, process payments, make recommendations, authenticate users, and more. This course provides the foundation you need to get started in database programming. Explore the terminology: normal forms, ACID and CRUD, referential integrity, transactions, records, and tables. Learn what role keys and unique values play in a relational model. Discover how to design the best system to contain your data, starting with the tables and relationships at the core of your database. Find out how to write queries to extract the data you need, and how to juggle the different demands of storage, access, performance, and security. Instructor Scott Simpson provides practical examples and clear explanations that will help you design databases that can withstand the needs of your applications, your data, and your users.",Course,2022-09-08 16:27 UTC,N/A,true,N/A,
3D Animation and Rigging,"When it comes to bringing believable 3D characters to life in Autodesk Maya, there's always more to learn. In this weekly series, get practical tips that can help you enhance your 3D animation and rigging workflow, as well as generally work smarter in Maya. Instructor George Maestri covers how to mimic stop-motion techniques using replacement animation, write scripts to speed up your rigging process, and much more.",Course,2022-12-04 15:35 UTC,N/A,false,N/A,
Nano Tips and Shortcuts for Using Excel with Kat Norton,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. Here, Microsoft MVP and Miss Excel, herself, Kat Norton gives you the latest useful tips on getting the most out of Excel. Learn how to use the new VSTACK function and find a solution to volatile functions. Find out how to use sparklines in your cells to visualize data, and then master automatic list numbering with SEQUENCE and COUNTA functions. Go over shortcuts to remove empty columns, highlight duplicates in a data set, and flash fill to combine names. Discover which items are not on a list using FILTER and COUNTIF, and then learn to fill a series of cells in your data pivot table with the text above the cells. Practice adding a bar chart to your Excel cell. Plus, find out how to create a centered spreadsheet title without merging cells.</p>
 
<p>This course was created by Kat Norton. We are pleased to host this training in our library.</p>",Course,2023-04-11 09:21 UTC,N/A,false,N/A,
JavaScript: Web Form Programming,"Whether your users are ordering food or filling out a job application, web forms will play a role in collecting their information. And as a developer, you want to ensure that your users have a positive experience with your web app—and that the data you collect from them via web forms is clean. In this course, join instructor Joe Marini as he shares techniques for building modern web forms that return clean data and are easy for users to understand, navigate, and complete. Learn how to enhance your forms by properly using labels and implementing keyboard shortcuts. Plus, explore how to dynamically control form field behavior, leverage different validation approaches, and support autofill and autocomplete.",Course,2022-09-08 11:29 UTC,N/A,false,N/A,
Learning FPGA Development,"Field-programmable gate arrays (FPGAs) straddle the boundary between hardware and software. They are customizable circuits that can be updated by customers or designers after manufacturing or deployment in the field. Rather than programming the chip with a series of instructions, FPGA developers create a logic structure from the gates inside the chip, establishing pathways for future data. A low-cost option for electronics prototyping and experimentation, FPGAs programming is a great entry point to digital systems design. This course provides an orientation to FPGAs, exploring the anatomy of the development boards and proprietary hardware description languages, the possibilities for implementation, and a comparison of the two major competing platforms, Xilinx and Intel. Instructor Eduardo Corpeño also provides demos that show a real application working on both platforms.",Course,2021-12-07 13:58 UTC,N/A,false,N/A,
Learning Soldering for Electronics,"In an electronic product such as a cell phone, toy, or automobile, electronic components are attached using solder, a metal compound that melts at a low-enough temperature to be able to be worked by hand or machine. Whether you are prototyping a new product, manufacturing a product at scale, or working on a project in your spare time, you will need to learn how to solder in order to create the electrical and mechanical connections that make it all work. In this course, learn about the tools and techniques needed to make great solder connections. Plus, get troubleshooting tips, including how to fix a cold solder joint and repair a mistake in a PCB.",Course,2022-08-06 12:34 UTC,N/A,false,N/A,
Python for Data Science Essential Training Part 1,"<i>Python for Data Science Essential Training</i> is one of the most popular data science courses at LinkedIn Learning. It has now been updated and expanded to two parts—for even more hands-on experience with Python. In this course, instructor Lillian Pierson takes you step by step through a practical data science project: a web scraper that downloads and analyzes data from the web. Along the way, she introduces techniques to clean, reformat, transform, and describe raw data; generate visualizations; remove outliers; perform simple data analysis; and generate interactive graphs using the Plotly library. You should walk away from this training with basic coding experience that you can take to your organization and quickly apply to your own custom data science projects.",Course,2021-11-15 12:04 UTC,N/A,false,N/A,
React: Design Patterns,"If you’ve learned the basics of React and have worked on many React applications, chances are you’ve run into some recurring problems and situations, like creating reusable layouts or working with forms. If you’ve been on the hunt for solutions to common problems, look no further than this course with Shaun Wassell, where he covers many of the most useful design patterns—effective and repeatable solutions to common application development challenges. This course consists of several sections, each of which will cover a group of React design patterns, ranging from preferred syntax for specific tasks to how to arrange components in the most effective way. Among the topics Shaun covers are composition, higher-order components, state hoisting, controlled vs. uncontrolled components, and many other patterns that help a React app develop into a well-organized codebase.",Course,2023-08-13 12:25 UTC,N/A,false,N/A,
Overcoming Procrastination,"Is procrastination preventing you from achieving the goals you want or need to accomplish? In less than half an hour, this course can help you identify why you delay and how you can overcome your procrastination habit once and for all. Instructor and Kelley School of Business senior lecturer Brenda Bailey-Hughes shows how to separate procrastination from other behaviors and identify what causes you to put tasks on the back burner. Throughout the course, Brenda helps you address your procrastination head on, providing strategies that address common reasons for stalling—from boring tasks to an overall lack of confidence.",Course,2021-11-01 07:25 UTC,N/A,false,N/A,
Learning React.js,"React.js is designed to make the process of building modular, reusable user interface components simple and intuitive. In this course, Eve Porcello guides you through the foundations of React development, including the use of React hooks—a new feature starting in React 16.8 that allows developers to add functionality to components without writing classes. Eve shows how to create components, display dynamic data with properties, and render components using JSX syntax.  Eve also manages the state of components with hooks; uses powerful React enhancements, such as the useEffect hook for loading remote data; and leverages cloud deployment options for apps created with create-react-app.<br><br>
 
This course was created by Eve Porcello. We are pleased to offer this training in our library.",Course,2021-12-22 16:05 UTC,N/A,true,N/A,
Programming Foundations: Data Structures (2019),"Once you get past simple programs with one or two variables, you'll use data structures to store the values in your applications. Data structures are like containers—there's one for every kind of data. While structures like arrays and queues are sometimes taken for granted, a deeper understanding is vital for any programmer who wants to know what's going on ""under the hood"" and understand how the choices they've made impact the performance and efficiency of their applications. In this course, Kathryn Hodge provides an in-depth overview of the most essential data structures for modern programming. Starting with simple ways of grouping data, like arrays and structs, Kathryn gradually introduces more complex data structures, such as linked lists, stacks and queues, hash tables, and trees and graphs. Each lesson is accompanied by a real-world, practical example that shows the data structures in action. When you're finished with the course, you'll have a clear understanding of data structures and understand how to use them—in whatever language you're programming in: C#, Swift, JavaScript, Java, Python, and more.",Course,N/A,N/A,true,N/A,
After Effects Weekly,"During the last few years, After Effects has grown from a simple software program into an ever-evolving motion graphics ecosystem. New features are being added each quarter and it's getting hard to keep up. This weekly series demonstrates tips, tricks, and techniques to help you to stay on top of the changes and reveals undocumented effects and shortcuts that will blow you away. Learn how to reset tools, control animations, create effects, control layers, fix issues, and integrate with Photoshop, Illustrator, and Cinema 4D. Tune in every Friday for a new tip.",Course,2022-10-10 16:14 UTC,N/A,false,N/A,
Learning C++ (2018),"C++ is an efficient and versatile programming language. C++ powers systems software, desktop applications, and even video games, and it's the language that helped land humans on the moon. Simply put, C++ is a must-know for any modern-day programmer—and it's a great place to get started if you're programming for the first time. This course will get you up and running fast. Instructor Erin Colvin covers simple data types, including numbers and strings; flow-control features like loops and if, else, and switch statements; and functions, the code that encapsulates tasks your program performs. Dr. Colvin also covers working with files and special data structures such as classes and linked lists. Each chapter is full of practical code examples and challenges to help you practice your C++ skills.",Course,2021-06-22 04:33 UTC,N/A,true,N/A,
Django: Forms,"Most websites require the use of forms to receive data from users, so it is crucial to know how to safely collect and handle data while maintaining a user-friendly experience on your website. In this course, learn how to use Django to create forms from scratch. Instructor Nick Walter also explains how to deploy forms to your site, access stored data, leverage submitted form data, work with widgets, customize formsets, and more.",Course,2020-12-07 10:21 UTC,N/A,false,N/A,
Building a Website with Node.js and Express.js,"Node.js is a major platform for the web, used by companies like Uber, Netflix, and Intuit. Express.js is a fast, minimalist framework that sits on top of Node.js and allows you to build powerful single- and multi-page web applications and websites. In this course, instructor Daniel Khan shows how to build a realistic and robust website with these technologies. Learn how to build a basic application in minutes, transform HTML into dynamic pages, leverage template engines to modularize code, add routing and business logic, handle errors, store form data, and create API endpoints for single-page applications. Along the way, Daniel helps you pick up bits and pieces about Express.js and improve your overall knowledge of how to work effectively with Node.js.",Course,2022-08-15 15:28 UTC,N/A,true,N/A,
Creating a Serverless Application Using React in AWS,"React is one of the key technologies that the new and modern web is being built upon. In this course, instructor Brett McLaughlin shows you how React and a complete web development ecosystem work together in building applications. Brett goes through all the steps in getting your React app set up, deployed, connected, and supported. Next, he steps you through creating React components to organize and display your content. Brett teaches you how to add cloud services like a database using JSON data and encourages you to ensure your code works on the cloud platform you're targeting. He covers how to interact with AWS and DynamoDB through the command line, then how to create and use a DynamoDB table. Next, Brett goes into how to create, load, and test a new role that can execute Lambda functions and interact with DynamoDB. He walks you through creating and deploying an API gateway. Brett concludes by showing you how to connect your React code to an API Gateway endpoint.",Course,2023-07-04 04:55 UTC,N/A,false,N/A,
First Look: Python 3.9,"Python, like any modern language, is always evolving. In this course, instructor Claire Burn dives into Python 3.9, highlighting the new features, improvements, and deprecations packed into this release. Learn about the significant Python Enhancement Proposals (PEPs) included in Python 3.9, as well as how to distinguish which modules are new (and why they are notable). Discover which modules have been deprecated and why this was necessary. Plus, get tips for overcoming common challenges while porting from Python 2 to Python 3.9, or Python 3.x to Python 3.9.",Course,2022-01-20 19:27 UTC,N/A,false,N/A,
Penetration Testing Web Apps with Kali and Burp Suite,"Websites are one of the most vulnerable pieces of information technology, since their contents are exposed to access from the internet. By understanding how attackers locate and exploit these vulnerabilities, you can help build more secure websites and protect web applications. This course shows you how to perform advanced web testing using the tools available in Kali, the professional pen testing framework. After a brief refresher on web testing, instructor Malcolm Shore introduces some new tools for enumerating and exploiting websites. Malcom teaches you how to spider a website using Burp Suite and check for vulnerable pages, how to find hidden pages on a website, and shows how the common web technologies such as PHP, Nodejs, and ASP can be exploited. He also explains how to integrate Burp Suite and sqlmap to enable deep testing of a web site for hidden access vectors, as well as using tools like Cadaver and Jhead which attackers use to upload malware.",Course,2023-09-27 04:34 UTC,N/A,false,N/A,
Technical Product Management,"Are you interested in exploring a career as a Product Manager in a tech organization, but are concerned you may lack the technical background required? If you’re passionate about technology, are always thinking about new product ideas and enjoy solving problems, then the role of a technical product manager might be just right for you! There’s no straightforward path that leads to a career in technical product management and indeed the role needs a fluid skill set that requires you to wear different hats throughout the product development lifecycle—from idea generation, to coming up with creative solutions, to the implementation stage, and final rollout. In this course, Dr. Marily Nika covers what the role of a technical product manager entails and describes some of the key concepts, skills, mindsets, and frameworks that will make you a great fit for this role, with or without a technical background.",Course,2022-04-05 04:16 UTC,N/A,false,N/A,
Running Kubernetes on AWS (EKS) (2021),"Kubernetes fans rejoice. You can now use this popular container orchestration tool with Amazon Web Services (AWS) to deploy enterprise-scale Kubernetes clusters—without the headaches of managing multiple masters. This course teaches you the ins and outs of Amazon Elastic Container Service for Kubernetes (Amazon EKS), including understanding the deployment model and creating the needed Identity and Access Management (IAM) roles and policies. Instructor Robert Stormer also shows how to deploy and scale EKS workers to meet your needs, and integrate storage and networking. Plus, find out how to manage user access with Amazon IAM and Kubernetes RBAC, and monitor your deployments and underlying resources. Along the way, Robert introduces useful Kubernetes extensions and add-ons that can be used in the AWS environment.",Course,2022-12-30 16:20 UTC,N/A,false,N/A,
Calling REST APIs with Java,"Get the information you need on several popular third-party REST APIs, including the Azure Cognitive Services API, the Twitter API, the Twilio API, and more. Instructor Kevin Bowersox shows you how to call these APIs, using various techniques available in Java. Kevin uses each chapter to focus on a specific third-party API and a specific Java tactic for calling the API. Within each chapter, he goes over the purpose of the API, its major resources, and its security scheme, then he provides hands-on lessons that demonstrate how to call the API. Kevin demonstrates how to interact with these APIs, so you can get hands-on experience working with real world APIs that will translate to other APIs that you can leverage in your professional development.",Course,2022-12-13 14:47 UTC,N/A,false,N/A,
Learning C#,"The C# language got its start on Windows, but today you can find it almost everywhere.  Whether it’s running on the cloud, to desktops with MacOS and Linux, to mobile operating systems like Android and iOS, C# has grown into a mature, powerful language for almost any programming purpose.
In this course, Joe Marini dives into the fundamentals of C#, starting with a basic overview of language constructs like program flow and data types. He then gets into more advance topics such as functions, object-oriented programming techniques, and string processing. After this course, you’ll have a better understanding of C#, and how its combination of power, simplicity, and expressiveness make it an extremely versatile programming language that can be used for almost any scenario.
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2021-10-24 08:33 UTC,N/A,false,N/A,
React: Creating and Hosting a Full-Stack Site,"You've learned React and can create amazing front-end interfaces. But deploying them requires more. You need logic—and a place to put it. By combining your front-end UI with a back-end solution and cloud hosting, you can build powerful and interactive full-stack applications. In this project-based course, Shaun Wassell shows how to combine React, Node.js, and Amazon Web Services (AWS) in a full-stack, full-featured website, including user-friendly forms for posting articles and comments. Learn how to create an interface from React components, develop a Node.js server, tie in a MongoDB database, add user authentication with Firebase Auth, and deploy your site on Amazon Web Services. Join Shaun in this course to gain the skills to take your client services to the next level: full-stack web applications that are truly interactive.",Course,2023-03-27 07:35 UTC,N/A,false,N/A,
Python Code Challenges ,"Want to test your Python skills? These concise challenges let you stretch your brain and test your talents. Instructor Barron Stone shares over a dozen Python challenges, as well as his own solutions to each problem—the majority of which are less than two dozen lines of code. You can tackle each problem using the tools in the Python standard library, or opt for the library of your choice. And since each challenge is self-contained, you can complete the course in any order—and at your own pace. Tune in to get the hands-on practice you need to keep your skills sharp.",Course,2021-06-07 13:00 UTC,N/A,false,N/A,
Writing a Tech Resume,"When you apply for technology jobs, your resume is your opportunity to stand out from the crowd. Emma Bostian shows you how to showcase your technology skills, framing them to impress recruiters and potential employers. Discover how to tailor the content and length to catch a hiring manager’s eye. Learn how to leverage minor design details like spacing, font choice, and color palette to differentiate your resume from the rest, without stepping too far out. Plus, learn how to create a professional online presence on the platforms tech recruiters use most: LinkedIn and GitHub.",Course,2022-11-16 15:40 UTC,N/A,true,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-11-14 12:57 UTC,N/A,false,N/A,
